asset,venue,day,strategy,selected_mode,total_net_bps,mean_net_bps,total_gross_bps,mean_gross_bps,total_cost_bps,mean_cost_bps,mean_turnover,total_turnover,n_steps,positive_episode
AAPL,XNAS,2025-06-11,ramp_real,,6336.429376638971,0.6682587404175249,6550.1057118067865,0.6907936840125276,213.6763351678154,0.02253494359500268,0.007382408774520143,70.0,9482,1
AAPL,XNAS,2025-06-11,ridge_static,,-7751.1718040529895,-0.8174616962721989,-7558.522303515093,-0.7971443053696575,192.6495005378966,0.0203173909025413,0.005695001054629825,54.0,9482,0
AAPL,XNAS,2025-06-11,signed_flow,,-2033.91637491684,-0.21450288704037543,-1942.8013932361266,-0.20489362932251914,91.11498168071313,0.009609257717856267,0.004851297194684666,46.0,9482,0
BNBUSDT,BINANCE,2024-03-30,camp_r,micro_fallback,2666.41539904598,0.030884881958973057,2684.264692932058,0.03109162894030229,17.849293886078044,0.00020674698132923348,0.01037829823707925,896.0,86334,1
BNBUSDT,BINANCE,2024-03-30,micro_fixed,,2666.41539904598,0.030884881958973057,2684.264692932058,0.03109162894030229,17.849293886078044,0.00020674698132923348,0.01037829823707925,896.0,86334,1
BNBUSDT,BINANCE,2024-03-30,momentum,,-1873.378248606492,-0.021699194391624297,-1870.2945900920854,-0.02166347661514682,3.0836585144066007,3.571777647747817e-05,0.0017837700094979962,154.0,86334,0
BNBUSDT,BINANCE,2024-03-30,online_regime,,2666.41539904598,0.030884881958973057,2684.264692932058,0.03109162894030229,17.849293886078044,0.00020674698132923348,0.01037829823707925,896.0,86334,1
BNBUSDT,BINANCE,2024-03-30,ramp_real,,1492.602018526497,0.017288692965998297,1507.1163904049267,0.01745681180537131,14.514371878429781,0.0001681188393730139,0.008409201473347696,726.0,86334,1
BNBUSDT,BINANCE,2024-03-30,ridge_static,,1432.5079123626203,0.016592627613253415,1445.5904944052133,0.016744162142437666,13.08258204259298,0.0001515345291842493,0.007575231079296685,654.0,86334,1
BNBUSDT,BINANCE,2024-03-30,signed_flow,,-1468.9287351803596,-0.01701448716821136,-1432.9698424527514,-0.01659797811352134,35.95889272760829,0.00041650905469002114,0.020953506150531657,1809.0,86334,0
